publisher_name,iati_organisation_identifier,organisation_type,country
Universitair Centrum voor Ontwikkelingssamenwerking,BE-BCE_KBO-0420790948,National NGO,Belgium
Bani Abdurrahman Wahid Foundation (YBAW),XM-DAC-7-PPR-4000005312,Foundation,Indonesia
Asociación Movimiento Feminista Por La Paz Ruta Pacífica de las Mujeres,CO-RUE-900.683.942-8,Public Private Partnership,Colombia
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,BE-BCE_KBO-0421210424,National NGO,Belgium
Oxfam Wereldwinkels,BE-BCE_KBO-0415365777,National NGO,Belgium
Queen Rania Foundation for Education and Development,JO-MSD-2013011100066,National NGO,Jordan
Forum for Africa Women Educationalist Regional Secretariat,KE-NCB-218-051-93197-173,Regional NGO,Kenya
PRACTICA Foundation,NL-KVK-09119363,Foundation,Netherlands
Higher Population Council,JO-COA-1701-HPC,Other Public Sector,Jordan
IREX (International Research and Exchange Board),US-EIN-22-3087809,International NGO,United States
International Organization for Migration (IOM),XM-DAC-47066,Multilateral,Switzerland
KIYO,BE-BCE_KBO-0416867297,International NGO,Belgium
C40 Cities Climate Leadership Group,US-EIN-900634376,"Academic, Training and Research",United States
British & Irish Agencies Afghanistan Group,GB-CHC-1135700,International NGO,United Kingdom
Académie de recherche et d'enseignement supérieur,BE-BCE_KBO-0546740696,"Academic, Training and Research",Belgium
Dynamo International asbl,BE-BCE_KBO-0474912493,National NGO,Belgium
Quinoa,BE-BCE_KBO-0445741823,National NGO,Belgium
Echos Communication,BE-BCE_KBO-0443262185,National NGO,Belgium
Médecins Sans Vacances,BE-BCE_KBO-0448723978,National NGO,Belgium
Comité pour l'abolition des dettes illégitimes,BE-BCE_KBO-0446340550,National NGO,Belgium
ITECO - Centre de formation pour le développement,BE-BCE_KBO-0415499795,National NGO,Belgium
ACTION AGAINST HUNGER SPAIN,ES-CIF-G81164105,International NGO,Spain
Damiaanactie / Action Damien,BE-BCE_KBO-0406694670,National NGO,Belgium
UWEZO Youth Empowerment,RW-RGB-101-RGB-NGO-2014,National NGO,Rwanda
Stichting Aidenvironment,NL-KVK-41208024,Foundation,Netherlands
Plan International Belgium,BE-BCE_KBO-0425420917,National NGO,Belgium
RUAF Foundation,NL-KVK-32102434,Foundation,Netherlands
Population Media Center,US-EIN-030358029,International NGO,United States
Le Monde selon les femmes asbl,BE-BCE_KBO-0430826290,National NGO,Belgium
Coopération par l'Education et la Culture,BE-BCE_KBO-0417549465,National NGO,Belgium
Danmission,DK-CVR-25191501,National NGO,Denmark
Network For Enterprise Enhancement and Development Support,IN-MHA-337680017,National NGO,India
Fundación Oriéntame,CO-RUE-860049972,National NGO,Colombia
International Federation of Accountants,CH-FDJP-CHE102197003,International NGO,Switzerland
Clinton Health Access Initiative,US-EIN-27-1414646,International NGO,United States
Action Against Hunger USA,US-EIN-13-3327220,International NGO,United States
ODI Global Advisory Ltd,GB-COH-07157505,"Academic, Training and Research",United Kingdom
AVSI FOUNDATION IN UGANDA,UG-NGB-5914-129,International NGO,Uganda
African Women's Development Fund,GH-DSW-2046,Regional NGO,Ghana
IFOAM - Organics International,DE-CR-BonnVR8726,International NGO,Germany
The MENTOR Initiative,GB-COH-05126149,International NGO,United Kingdom
Enroot,EG-CR-117508,Private Sector,Egypt
Bangladesh Nari Progati Sangha,BD-NAB-0271,National NGO,Bangladesh
Transparency International UK,GB-CHC-1112842,International NGO,United Kingdom
Energy 4 Impact,GB-CHC-1119168,International NGO,United Kingdom
Center for Civilians in Conflict,US-EIN-75-3130860,International NGO,United States
Raleigh International,GB-CHC-1047653,International NGO,United Kingdom
Solidagro,BE-BCE_KBO-0410757386,"Academic, Training and Research",Belgium
NLR,NL-KVK-41199723,International NGO,Netherlands
Economic and Social Research Foundation (ESRF),TZ-TRA-101-091-759,"Academic, Training and Research","Tanzania, United Republic of"
Right to Play Netherlands Foundation,NL-KVK-24365461,International NGO,Netherlands
VEI (Vitens-Evides International),NL-KVK-08134161,Private Sector,Netherlands
International Federation of the Red Cross and Red Crescent (IFRC),XM-DAC-21018,International NGO,Switzerland
Bucks Community NGO,UG-NGB-10890,National NGO,Uganda
International Monetary Fund,XM-DAC-43000,Multilateral,United States
Association of Commonwealth Universities,GB-CHC-314137,"Academic, Training and Research",United Kingdom
"NpM, Platform for Inclusive Finance",NL-KVK-56185154,National NGO,Netherlands
Tropical Health and Education Trust,GB-CHC-1113101,International NGO,United Kingdom
Johns Hopkins University,US-EIN-52-0595110,"Academic, Training and Research",United States
MDF Global,NL-KVK-56821743,Foundation,Netherlands
International Council of Voluntary Agencies,CH-FDJP-CHE100871337,International NGO,Switzerland
Iraq Foundation,US-EIN-521750875,International NGO,United States
Oxfam Intermón,ES-CIF-G-8236803,International NGO,Spain
United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,Multilateral,(No country assigned)
Savana Signatures,GH-DSW-4711,National NGO,Ghana
Unilever,GB-COH-00041424,Public Private Partnership,(No country assigned)
Development Organisation of the Rural Poor,BD-NAB-0682,National NGO,Bangladesh
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,BE-BCE_KBO-0453072647,National NGO,Belgium
the center for victimized women and children,MW-CNM-C057/1998,National NGO,Malawi
equileap,NL-KVK-65306198,International NGO,Netherlands
Family Life Education Program,UG-NGB-1826,National NGO,Uganda
University College London,GB-COH-RC000631,"Academic, Training and Research",United Kingdom
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),TZ-TRA-101-304-795,National NGO,"Tanzania, United Republic of"
Centre for the Study of Adolescence,KE-NCB-218/051/96110/823,"Academic, Training and Research",Kenya
U.S. Department of Labor,US-GOV-17,Government,United States
Joshua Orphan and Community Care,GB-CHC-1114727,International NGO,(No country assigned)
Royal Netherlands Football Association,NL-KVK-40478591,Other Public Sector,Netherlands
Light For The World Belgium,BE-BCE_KBO-0460240749,National NGO,Belgium
Voluntary Health Association of India,IN-MHA-231650063,"Academic, Training and Research",(No country assigned)
ADRA Denmark,DK-CVR-20074035,National NGO,Denmark
ADS-Nyanza,KE-RCO-78260,Other Public Sector,Kenya
Solidaridad South & South-East Asia,HK-CR-1494242,International NGO,India
Solidaridad West Africa,GH-DSW-5574,International NGO,Ghana
Fiabel,XI-IATI-FIABEL,National NGO,Belgium
CARE SOMALIA,KE-NCB-218/051/9384/74,National NGO,Kenya
D. Capital Partners,GB-COH-07627789,Public Private Partnership,United Kingdom
The Princess Alia Foundation,JO-MSD-2009011100178,Foundation,Jordan
Irise International,GB-CHC-1157722,International NGO,United Kingdom
"Iringa Development of Youth, Disabled and Children Care",TZ-TRA-102316134,National NGO,"Tanzania, United Republic of"
Babawatoto Centre For Children and Youth,TZ-TRA-116315386,National NGO,"Tanzania, United Republic of"
Railway Children Africa,TZ-TRA-110-664-087,National NGO,"Tanzania, United Republic of"
U.S. Department of the Treasury,US-GOV-6,Government,United States
"The Global Development Incubator, Inc",US-EIN-14-1945286,International NGO,United States
CHEKA SANA TANZANIA,TZ-TRA-121406209,National NGO,"Tanzania, United Republic of"
Worldwide Hospice Palliative Care Alliance,GB-COH-06735120,International NGO,United Kingdom
The University of Manchester,GB-COH-RC000797,"Academic, Training and Research",United Kingdom
INTERSOS Onlus,IT-CF-97091470589,International NGO,Italy
UK – Department for Education,GB-GOV-14,Government,United Kingdom
GiveDirectly,US-EIN-27-1661997,International NGO,United States
Karuna Mission Social Solidarity - KMSS,MM-MHA-1/Local/0047,National NGO,Myanmar
Mastercard Foundation,CA-CRA_ACR-817387277,Foundation,Canada
BRAC,BD-NAB-002,International NGO,Bangladesh
Royal College of General Practitioners (RCGP),GB-CHC-223106,National NGO,United Kingdom
Brigham and Women's Hospital,US-EIN-042312909,"Academic, Training and Research",United States
FHI360,US-EIN-237413005,International NGO,United States
World Agroforestry Centre,XM-DAC-47056,"Academic, Training and Research",Kenya
Abt Britain Limited,GB-COH-10633588,Private Sector,United Kingdom
Royal College of Obstetricians & Gynaecologists,GB-CHC-213280,"Academic, Training and Research",United Kingdom
International Institute for Environment and Development,GB-COH-02188452,"Academic, Training and Research",United Kingdom
Northern Rangelands Trust,KE-KRA-P051311853T,National NGO,Kenya
Alliance of Religions and Conservation,GB-CHC-1047608,International NGO,United Kingdom
YWCA of Bangladesh,BD-NAB-051,National NGO,Bangladesh
Women's Centre for Legal Aid and Counselling,PS-MOI-QR-209-HR,National NGO,"Palestine, State of"
Concern Worldwide,IE-CHY-20009090,International NGO,Ireland
"Social Fund for Development, Yemen",XM-OCHA-FTS18563,Other Public Sector,Yemen
International Fertilizer Development Center,US-EIN-63-0676451,International NGO,United States
Multilateral Investment Fund,XI-IATI-MIF,Multilateral,United States
Marsa Sexual Health Center,LB-MOI-14739,Regional NGO,Lebanon
Acumen,US-EIN-134166228,International NGO,United States
Consortium for Street Children,GB-CHC-1046579,International NGO,United Kingdom
CINI,IN-MHA-147110006,National NGO,India
Afrikagrupperna Sweden,SE-ON-802007-2446,International NGO,Sweden
United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),XI-IATI-OCHASDC,Multilateral,United States
NORSAAC,GH-DSW-4834,National NGO,Ghana
Concordis International,GB-COH-04930461,International NGO,United Kingdom
Fundacion Acceso,CR-RPJ-3-006-125548,Regional NGO,Costa Rica
U.S. Federal Trade Commission,US-GOV-TBD,Government,United States
PATH,US-EIN-91-1157127,International NGO,United States
Water Integrity Network Association,DE-CR-VR32914,International NGO,Germany
Musalaha Ministry of Reconciliation,IL-RA-580166452,"Academic, Training and Research",Israel
CARE International Afghanistan,AF-MOE-22,International NGO,Afghanistan
Energy Saving Trust,GB-COH-02622374,Other Public Sector,United Kingdom
DKT - (Pakistan),PK-SEC-0080655,Private Sector,Pakistan
Mzumbe University,XI-GRID-grid.442465.5,"Academic, Training and Research","Tanzania, United Republic of"
AIDSPAN,US-EIN-32-0060251,International NGO,United States
Kisumu Medical and Education Trust,KE-KRA-P051119468K,National NGO,Kenya
International Trade Centre (ITC),XM-DAC-45001,International NGO,Switzerland
Oxfam Australia,AU-ACNC-18055208636,International NGO,Australia
Solidarites International,FR-RCS-389515180,International NGO,France
American Friends Service Committee,US-EIN-23-1352010,"Academic, Training and Research",United States
BRAC University,XI-GRID-grid.52681.38,"Academic, Training and Research",Bangladesh
U.S. International Development Finance Corporation,US-GOV-22,Government,United States
Transparency International Kenya,KE-RCO-84486,National NGO,Kenya
DeafKidz International,GB-CHC-1151219,International NGO,United Kingdom
AVT-L Association of Victims of Terrorism Lebanon,LB-MOI-853,National NGO,Lebanon
"Rehabilitation, Education and Community Health (REACH)",IQ-NGO-1Z2634,National NGO,Iraq
United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,Multilateral,Switzerland
DKT International,US-EIN-58-1593137,International NGO,United States
Ministry of Foreign Affairs of  Japan,XM-DAC-701-2,Government,Japan
AgResults Initiative,XI-IATI-AGR,Multilateral,(No country assigned)
"Institut National de l'Eau, Benin",BJ-IFU-4201710116446,"Academic, Training and Research",Benin
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,BJ-IFU-4201710182326,Government,Benin
Universities UK,GB-COH-02517018,National NGO,United Kingdom
Index Initiative Foundation,NL-KVK-70292388,Foundation,Netherlands
New York University,US-EIN-13-5562308,"Academic, Training and Research",United States
Commune de Dangbo - Benin,BJ-IFU-4201710012551,Other Public Sector,Benin
Commune de Adjarra - Bénin,BJ-IFU-6201810251129,Other Public Sector,Benin
Commune de Parakou - Bénin,BJ-IFU-6201000068802,Other Public Sector,Benin
Commune de Toffo - Bénin,BJ-IFU-5200081145006,Other Public Sector,Benin
Commune de Toviklin - Bénin,BJ-IFU-6200901945503,Other Public Sector,Benin
Commune de Kpomassè - Bénin,BJ-IFU-6201101182902,Other Public Sector,Benin
Commune de Zè - Bénin,BJ-IFU-6200801257400,Other Public Sector,Benin
Commune de Allada - Bénin,BJ-IFU-6201501755307,Other Public Sector,Benin
Commune de Aplahoué - Bénin,BJ-IFU-6201001076902,Other Public Sector,Benin
Commune de Lalo - Bénin,BJ-IFU-6200901944805,Other Public Sector,Benin
Third World Network Africa,GH-RGD-CG109732014,Regional NGO,Ghana
Commune de Kétou - Bénin,BJ-IFU-6200901851300,Other Public Sector,Benin
Commune de Adjohoun - Bénin,BJ-IFU-5200801335602,Other Public Sector,Benin
Commune de Adja-Ouere - Bénin,BJ-IFU-6200901944008,Other Public Sector,Benin
Commune de Pobè - Bénin,BJ-IFU-6201200579608,Other Public Sector,Benin
Commune de Bopa - Bénin,BJ-IFU-6200901944209,Other Public Sector,Benin
Commune de Akpro-Missérété - Bénin,BJ-IFU-6201001843703,Other Public Sector,Benin
Commune de Comè - Bénin,BJ-IFU-6201000370801,Other Public Sector,Benin
Commune de Avrankou - Bénin,BJ-IFU-6201300688700,Other Public Sector,Benin
Commune de Ifangni - Bénin,BJ-IFU-6201100143407,Other Public Sector,Benin
We Effect,SE-ON-802004-1524,International NGO,Sweden
Commune de Klouékanmè - Bénin,BJ-IFU-6201100034408,Other Public Sector,Benin
National Coalition of Human Rights Defenders - Kenya,KE-KRA-P051502549C,National NGO,Kenya
Institute for Security Studies,ZA-NPO-006-981,International NGO,South Africa
Nepal Disabled Human Rights Center,NP-SWC-10136,National NGO,Nepal
Deloitte Touche Tohmatsu India LLP,IN-MCA-AAE-8458,Private Sector,India
DefendDefenders,UG-NGO-1406,"Academic, Training and Research",Uganda
Send a Cow Kenya,KE-NCB-2180511703310709,National NGO,Kenya
Global Rights Compliance,NL-KVK-70048436,Foundation,Netherlands
International Center for Transitional Justice,US-EIN-11-3580024,International NGO,United States
CISU,DK-CVR-19348407,National NGO,Denmark
Mukisa Foundation,UG-NGB-0498,National NGO,Uganda
Netherlands Organisation for Scientific Research (NWO),NL-KVK-27367015,Government,Netherlands
Rainforest Alliance,US-EIN-13-3377893,International NGO,United States
British Asian Trust,GB-CHC-1127366,International NGO,United Kingdom
EDUCATION DEVELOPMENT TRUST - RWANDA,RW-RGB-002-RGB-NGO-2017,International NGO,Rwanda
Christian Blind Mission (UK) Ltd.,GB-CHC-1058162,International NGO,United Kingdom
University of Nottingham,GB-COH-RC000664,"Academic, Training and Research",United Kingdom
Women's Fund Asia,LK-DRC-GA139,Regional NGO,Sri Lanka
Seefar,HK-CR-2091642,Private Sector,Hong Kong
NAGAAD,SO-MPND-L43135002018MJ,National NGO,Somalia
Child.org,GB-CHC-1118528,International NGO,(No country assigned)
Democratic Governance Facility,XI-IATI-DGF,Other Public Sector,Uganda
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),NP-SWC-8220,National NGO,Nepal
Timidria,NE-DGI-5355,National NGO,Niger
Center for Church-Based Development,DK-CVR-12006004,International NGO,Denmark
Kwame Nkrumah University of Science and Technology,XI-GRID-grid.9829.a,"Academic, Training and Research",Ghana
Save the Children DK,DK-CVR-63407216,International NGO,Denmark
Global Canopy,GB-CHC-1089110,International NGO,United Kingdom
Water Finance Facility,NL-KVK-60633468,Private Sector,Netherlands
Pegasys Limited,GB-COH-10333897,Private Sector,United Kingdom
International Committee of the Red Cross (ICRC),XM-DAC-21016,Multilateral,Switzerland
World Wide Fund for Nature Denmark,DK-CVR-40781218,Foundation,Denmark
Welthungerhilfe,DE-CR-RA000220-VR3810,International NGO,Germany
Direcção Provincial de Saúde de Nampula,MZ-NUIT-500004037,Government,Mozambique
International Centre of Insect Physiology and Ecology (icipe),KE-KRA-P051097200R,"Academic, Training and Research",Kenya
CARE Danmark Fonden for Frivillig Ulandsbistand,DK-CVR-12921047,National NGO,Denmark
Universiteit Leiden,NL-KVK-27368929,"Academic, Training and Research",Netherlands
Stichting Beheer Subsidiegelden DRA,NL-KVK-72849770,International NGO,Netherlands
Farm Concern International,KE-RCO-C110031,Regional NGO,Kenya
Dawuro Development Association,ET-CSA-0976,"Academic, Training and Research",Ethiopia
Danish Trade Union Development Agency (Ulandssekretariatet),DK-CVR-20453672,International NGO,Denmark
ActionAid Denmark (Mellemfolkeligt Samvirke),DK-CVR-18243717,International NGO,Denmark
Educate!,US-EIN-84-1648607,International NGO,United States
Responsible Mining Foundation,CH-FDJP-CHE232974628,Foundation,Switzerland
Perhimpunan Pengembangan Media Nusantara,ID-KHH-0000871,National NGO,Indonesia
Mission Øst,DK-CVR-14723692,International NGO,Denmark
King's College London,GB-COH-RC000297,"Academic, Training and Research",United Kingdom
Confederation of Danish Industry,DK-CVR-16077593,Private Sector,Denmark
University Twente,NL-KVK-50130536,"Academic, Training and Research",Netherlands
DUF - The Danish Youth Council,DK-CVR-13078513,National NGO,Denmark
50 Eight Limited,GB-COH-07291220,Private Sector,United Kingdom
Danish Family Planning Association,DK-CVR-58185728,National NGO,Denmark
ActionAid Rwanda,RW-RGB-61-RGB-NGO-2017,National NGO,Rwanda
Global Focus,DK-CVR-35429867,National NGO,Denmark
Geneva International Centre for Humanitarian Demining,CH-FDJP-CHE109506789,Foundation,Switzerland
Disabled People's Organisations Denmark,DK-CVR-14766383,National NGO,Denmark
The University of Oxford,GB-UKPRN-10007774,"Academic, Training and Research",United Kingdom
Compassion UK,GB-CHC-1077216,International NGO,United Kingdom
INTRAC,GB-CHC-1016676,International NGO,United Kingdom
Special Hope Network,US-EIN-26-3933134,International NGO,United States
PositiveNegatives,GB-COH-08212556,Other Public Sector,United Kingdom
Data4Development,NL-KVK-64763064,Private Sector,Netherlands
Hope for Children,GB-CHC-1161729,International NGO,United Kingdom
WWF Sweden,SE-ON-802005-9823,International NGO,Sweden
Mercy Corps Global,US-EIN-91-1148123,International NGO,United States
African Revival,GB-CHC-1108718,International NGO,United Kingdom
Koninklijk Nederlands Meteorologisch Instituut,NL-KVK-30276595,Government,Netherlands
Sehat Kahani (Community Innovation Hub),PK-SEC-0105957,Private Sector,Pakistan
Mercy Corps Netherlands,NL-KVK-70333564,International NGO,Netherlands
International Indigenous Women Forum,PE-SUNARP-12623829,Foundation,Peru
Association Centrafricaine de Traduction de la Bible et Alphabetisation,XI-IATI-ACATBA,National NGO,Central African Republic
University Of Zimbabwe,XI-GRID-grid.13001.33,"Academic, Training and Research",Zimbabwe
Interpeace,CH-FDJP-CHE109994012,International NGO,Switzerland
Danish Red Cross,DK-CVR-20700211,National NGO,Denmark
Palliative Care Association of Malawi,MW-NBM-NGO/L/18/024,National NGO,Malawi
NKHOMA MISSION HOSPITAL,MW-MRA-20123139,National NGO,Malawi
David Gordon Memorial Hospital,MW-MRA-20120896,"Academic, Training and Research",Malawi
Particip GmbH,DE-CR-RA000243-HRB5459,Private Sector,Germany
Groupe Pivot Santé Population,ML-NIF-082208943A,"Academic, Training and Research",Mali
Plataforma Moçambicana da Água (PLAMA),MZ-NUIT-700179850,National NGO,Mozambique
ARQ International,NL-KVK-27310568,Foundation,Netherlands
SolarNow Services (U) Ltd,UG-RSB-80010003259159/105066,Private Sector,Uganda
Zambia Orphans Aid UK,GB-CHC-1145721,International NGO,United Kingdom
International Media Support,dk-cvr-26487013,International NGO,Denmark
Village Enterprise,US-EIN-22-2852248,International NGO,United States
We World - GVC Onlus,IT-RI-97241280151,International NGO,Italy
Syria Relief,GB-CHC-1143797,National NGO,United Kingdom
Emissa,TR-MOI-27-019-074,National NGO,Turkey
International Center for Not-for-Profit Law,US-EIN-52-1818273,International NGO,United States
European Forest Institute,FI-PRO-1993025-9,"Academic, Training and Research",Finland
WSP USA Solutions Inc.,US-EIN-13-3622707,Private Sector,United States
OpenNorth,CA-CRA_ACR-805837713,International NGO,Canada
PlanBørnefonden,DK-CVR-20356731,International NGO,Denmark
Edukans Foundation,NL-KVK-32092131,International NGO,Netherlands
Institute for War & Peace Reporting,GB-CHC-1027201,International NGO,United Kingdom
Near East Foundation UK (NEF UK),GB-CHC-1150993,International NGO,United Kingdom
Medecins du Monde France,FR-INSEE-32101874900127,International NGO,France
Centre for Legal Research and Development,NG-CAC-54522,National NGO,Nigeria
The Fred Hollows Foundation (UK),GB-CHC-1140288,International NGO,United Kingdom
Radio La Benevolencija,NL-KVK-34176587,International NGO,Netherlands
Stichting Liliane Fonds,NL-KVK-41081480,National NGO,Netherlands
living peace institute,XI-IATI-LPI,National NGO,Congo (Democratic Republic of the)
Heartland Alliance International,US-EIN-30-0739799,International NGO,United States
Irrawaddy Policy Exchange,JE-FSC-NPO_1108,"Academic, Training and Research",United Kingdom
ACTIONAID INTERNATIONAL KENYA,KE-NCB-OP/218/051/924/84,International NGO,Kenya
Instiglio,US-EIN-45-5015494,International NGO,United States
Niger Delta Stakeholders Initiative for Community Development and Empowerment,NG-CAC-73022,National NGO,Nigeria
Germany - Federal Foreign Office,XM-DAC-5-7,Government,Germany
IDinsight,US-EIN-27-4933181,International NGO,United States
Slovenia - Ministry of Foreign Affairs,XM-DAC-61-2,Government,Slovenia
Global Fund to End Modern Slavery,US-EIN-47-3594688,National NGO,United States
"Namati, Inc",US-EIN-45-2796201,International NGO,United States
Netherlands Space Office,XI-IATI-NSO,"Academic, Training and Research",Netherlands
VisionFund International,US-EIN-22-3900800,International NGO,United States
Center for International Studies and Cooperation,CA-CRA_ACR-118846575,International NGO,Canada
AgDevCo,GB-COH-07026479,Private Sector,United Kingdom
World Vegetable Center,XM-DAC-47008,International NGO,Taiwan (Province of China)
CDAC Network,GB-CHC-1178168,International NGO,United Kingdom
Regional Advisory Information and Network Systems,GH-DSW-1103,National NGO,Ghana
AFELT,KE-KRA-P051713416W,"Academic, Training and Research",Kenya
Democracy Reporting International gGmbH,DE-CR-RA000217-HRB121747B,International NGO,Germany
CARE BENIN/TOGO,BJ-IFU-5201000673108,International NGO,United States
Westminster Foundation for Democracy,GB-COH-02693163,Other Public Sector,United Kingdom
Uganda Martyrs University,UG-RSB-80010000253134/25060,"Academic, Training and Research",Uganda
Gulu University,XI-GRID-grid.442626.0,"Academic, Training and Research",Uganda
"The University of Dodoma (UDOM), Tanzania",XI-GRID-grid.442459.a,"Academic, Training and Research","Tanzania, United Republic of"
LIWA programme trust,KE-KRA-P051542095J,"Academic, Training and Research",Kenya
Northern Network for Education Development,GH-DSW-2000,National NGO,Ghana
Accountability Lab,US-EIN-45-4613016,National NGO,United States
International Food Policy Research Institute,XI-GRID-grid.419346.d,International NGO,United States
Opportunity International Savings and Loans Ltd,GH-RGD-99389,Private Sector,Ghana
Silsab Foundation,NG-CAC-1260478,National NGO,Nigeria
GEF Secretariat,XI-BRIDGE-6385676864,Multilateral,United States
Ashoka East Africa,KE-NCB-21805120080955572,International NGO,Kenya
World Horse Welfare,GB-CHC-206658,International NGO,United Kingdom
IMA World Health,US-EIN-522112460,International NGO,United States
Centre International de Développement et de Recherche,FR-RCS-78049888700022,International NGO,France
Zoological Society of London,GB-COH-RC000749,International NGO,United Kingdom
OECD,XM-DAC-47080,Multilateral,France
SouthSouthNorth,ZA-NPO-048-364,International NGO,South Africa
Humanitarian Quality Assurance Initiative,CH-FDJP-258577051,International NGO,Switzerland
HM Treasury,GB-GOV-2,Government,United Kingdom
Coalition for Epidemic Preparedness Innovations,NO-BRC-917687811,International NGO,Norway
Department for International Trade,GB-GOV-15,Government,United Kingdom
Children in Crossfire,GB-NIC-101412,International NGO,United Kingdom
Jordan River Foundation,XM-OCHA-HPC3664,National NGO,Jordan
King Salman Humanitarian Aid and Relief Centre,XM-OCHA-HPC6770,Government,Saudi Arabia
IMD Moçambique,MZ-MOJ-100717344,National NGO,Mozambique
Transform Africa,GB-CHC-1081769,International NGO,United Kingdom
Swisscontact,CH-FDJP-CHE107828868,International NGO,Switzerland
Fondation Hirondelle,CH-FDJP-CHE109947366,International NGO,Switzerland
One Young World,GB-CHC-1147298,National NGO,United Kingdom
London School of Hygiene and Tropical Medicine,GB-EDU-133903,"Academic, Training and Research",United Kingdom
"UK - Department for Digital, Culture, Media and Sport",GB-GOV-12,Government,United Kingdom
Village Water Ltd,GB-CHC-1117377,International NGO,United Kingdom
Action Contre la Faim,FR-RCS-31899089200065,International NGO,France
Vera Solutions,US-EIN-27-3440108,Private Sector,United States
Action Canada for Sexual Health and Rights,CA-CRA_ACR-107848319,International NGO,Canada
CARE Nepal,NP-IRD-302274734,International NGO,Nepal
World Education Inc.,US-EIN-13-1804349,"Academic, Training and Research",United States
Tameer-e-Khalaq Foundation,PK-VSWA-32-2004,National NGO,Pakistan
"Adventist Development and Relief Agency, Nepal",NP-IRD-302113730,International NGO,Nepal
Cesvi,IT-CF-95008730160,International NGO,Italy
Minority Rights Group,GB-CHC-282305,International NGO,United Kingdom
Integrated Water Resources Management Programme,XM-DAC-7-PPR-4000002894,Government,Mozambique
Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,PE-SUNARP-11744379,Regional NGO,Peru
CARE international foundation Switzerland in Sudan,XM-OCHA-HPC8568,International NGO,Sudan
Linking Pin Africa Ltd,UG-RSB-80020001996190,Private Sector,Uganda
Health Development Initiative,RW-RGB-77-RGB-NGO-2013,National NGO,Rwanda
Kenya Private Sector Alliance,KE-RCO-105217,Private Sector,Kenya
KITUO CHA SHERIA,KE-KRA-P051098561L,National NGO,Kenya
Syrian Center for Media and Freedom of Expression,FR-RCS-83764263600018,National NGO,France
Nonviolent Peaceforce South Sudan,SS-RRC-004,International NGO,South Sudan
Twynstra Gudde,NL-KVK-31047672,Private Sector,Netherlands
Institute for Policy Research and Advocacy (ELSAM),ID-KHH-AHU17AH0107,National NGO,Indonesia
London School of Economics and Political Science,GB-COH-00070527,"Academic, Training and Research",United Kingdom
"Conflict, Stability and Security Fund",GB-GOV-52,Government,United Kingdom
Cross-Government Prosperity Fund,GB-GOV-50,Government,United Kingdom
Royal Commonwealth Ex-Sevices League,GB-CHC-1174874,International NGO,United Kingdom
Drugs for Neglected Diseases initiative,CH-FDJP-CHE110141200,"Academic, Training and Research",Switzerland
Greater Virunga Transboundary Collaboration,RW-RRA-103197639,Government,Rwanda
South Asian Women Development Forum,NP-SWC-37725,"Academic, Training and Research",(No country assigned)
Accelerator Nepal,NP-SWC-46024,National NGO,Nepal
Nutrition International,CA-CRA_ACR-869974816,International NGO,Canada
Centre for Humanitarian Dialogue (HD Centre),CH-FDJP-CHE-105181636,Foundation,Switzerland
International Aids Vaccine Initiative (IAVI),US-EIN-13-3870223,International NGO,United States
Partnership for African Social & Governance Research (PASGR),KE-RCO-CPR/2011/63463,"Academic, Training and Research",Kenya
Resilience,NL-KVK-09181221,"Academic, Training and Research",Netherlands
Maastricht School of Management,NL-KVK-41145371,Foundation,Netherlands
Centre Diocésain de Communication de Ouahigouya,BF-MATD-RNRD00045-4000004688,National NGO,Burkina Faso
Carbon Trust Advisory Ltd,GB-COH-06274284,Private Sector,United Kingdom
PUBLIC HEALTH FOUNDATION OF INDIA,IN-MHA-231660927,National NGO,India
Positive Vibes Trust,NA-NAMRA-04822224,International NGO,Namibia
Okapi Consulting,ZA-CIP-2005-028883-23,International NGO,South Africa
Health Insurance Fund,NL-KVK-34234456,International NGO,Netherlands
Montrose International LLP,GB-COH-OC350651,"Academic, Training and Research",(No country assigned)
Chance for Childhood,GB-CHC-1013587,International NGO,United Kingdom
PRI Association,GB-COH-7207947,"Academic, Training and Research",United Kingdom
INTOSAI Development Initiative,NO-BRC-980997278,International NGO,Norway
Jordan Open Source Association,JO-MSD-2011101100001,National NGO,Jordan
Impunity Watch,NL-KVK-30238214,International NGO,Netherlands
Neem Foundation,NG-CAC-83813,National NGO,Nigeria
iDE,US-EIN-23-2220051,International NGO,United States
Triangle Génération Humanitaire,FR-RCS-40885667200030,International NGO,France
Land Equity International,AU-ABN-42097054165,Private Sector,Australia
Keele University,GB-COH-RC000655,"Academic, Training and Research",United Kingdom
Results for Development,US-EIN-20-8530747,International NGO,United States
Spanish Agency for International Development Cooperation (AECID),XM-DAC-50-21,Government,Spain
ActionAid Ghana,GH-DSW-3064,National NGO,Ghana
